model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,simple_std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,hac_lags,years_estimated,min_year,max_year,bh_q_value
fama_macbeth_hac3,rd2_countries,Imports,product,gini,product_gini,log_population,-0.0019027636457553518,0.0006532914437055334,0.0003726893498228316,-2.9125800805880586,0.006203902619776901,-0.003229015785080068,-0.000576511506430636,1875,36,0.4145734599145554,ok,1884,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.018611707859330702
fama_macbeth_hac3,rd2_countries,Imports,partner,gini,partner_gini,log_population,-0.0015331337287940896,0.0006785970649503795,0.00039809108722974317,-2.259269613708388,0.030198816017362136,-0.0029107590104372675,-0.00015550844715091173,1884,36,0.16786937384656916,ok,1884,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.06039763203472428
fama_macbeth_hac3,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_population,-0.0014087092197258982,0.0017717518840340866,0.0010102018407506213,-0.7950939589342614,0.4319179045410476,-0.005005556766395979,0.0021881383269441823,1875,36,0.25337020921808323,ok,1884,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.47118316859023374
fama_macbeth_hac3,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,log_population,-0.0019534952015257435,0.0014376668492575156,0.0008175563249820331,-1.3587954695725424,0.1829043208837661,-0.004872114070386116,0.000965123667334629,1875,36,0.36757260477497167,ok,1884,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.21948518506051934
fama_macbeth_hac3,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,log_population,-0.006173201535915386,0.003458241804640108,0.002018687908534853,-1.7850693747419488,0.08291943256466806,-0.013193805641322042,0.000847402569491269,1884,36,0.05216643108059406,ok,1884,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.11055924341955742
fama_macbeth_hac3,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_population,-0.007504402152080442,0.00270200178628646,0.0015644969605321081,-2.777349071406144,0.008747001238757122,-0.01298975740056717,-0.002019046903593713,1884,36,0.15933399502629295,ok,1884,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.020992802973017095
fama_macbeth_hac3,rd2_countries,Exports,product,gini,product_gini,log_population,-0.01322961595548079,0.000296581237364531,0.0002599716618984429,-44.607056309567334,1.949519012249739e-32,-0.013831707876824821,-0.012627524034136759,1870,36,0.41344122556031615,ok,1879,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,2.3394228146996866e-31
fama_macbeth_hac3,rd2_countries,Exports,partner,gini,partner_gini,log_population,-0.0028744717087669596,0.0015925286674716764,0.0008984432841572021,-1.8049732902645428,0.07968830241610883,-0.006107476782567163,0.00035853336503324394,1879,36,0.1361411951740338,ok,1879,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.11055924341955742
fama_macbeth_hac3,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_population,-0.03645453906235701,0.002268637817820691,0.0014219684050849515,-16.068910945589426,9.963098867356654e-18,-0.04106011868264335,-0.03184895944207067,1870,36,0.2989332130152266,ok,1879,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,3.985239546942661e-17
fama_macbeth_hac3,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,log_population,-0.031684703464448155,0.0009011213376053503,0.0006552267907227556,-35.16141738319884,6.748907856590457e-29,-0.03351407703623633,-0.02985532989265998,1870,36,0.4088214728099254,ok,1879,9,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,4.049344713954274e-28
fama_macbeth_hac3,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,log_population,0.002382660554182724,0.0039469050306451614,0.002334384260020169,0.6036782075279005,0.5499504226609394,-0.005629982640581179,0.010395303748946627,1879,36,0.03820254242838583,ok,1879,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.5499504226609394
fama_macbeth_hac3,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,log_population,-0.008520613798392316,0.004193010921813393,0.0023875473044027103,-2.0320991185749935,0.04978771387447704,-0.01703287851400596,-8.34908277867058e-06,1879,36,0.1143178897208581,ok,1879,0,,year-by-year cross sections,"Newey-West HAC over yearly coefficients, lag=3",yearly_coefficients,"Student t, df=35",3,36,1989,2024,0.08535036664196063
