classification_code,cmd_code,hs_desc_official,bec5_label,bec5_end_use,exercise_03_bin,mapping_status,bec5_primary_flag,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule,primary_mapping_source
H0,010111,Horses :-- Pure-bred breeding animals,,,unmapped_or_ambiguous,ambiguous,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010119,Horses :-- Other,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010120,"Asses, mules and hinnies",,,unmapped_or_ambiguous,ambiguous,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010210,Pure-bred breeding animals,,,unmapped_or_ambiguous,ambiguous,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010290,Other,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010310,Pure-bred breeding animals,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Gross Fixed Capital Formation|Generic",Gross Fixed Capital Formation,capital_goods,mapped,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010391,Other :-- Weighing less than 50 kg,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010392,Other :-- Weighing 50 kg or more,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010410,Sheep,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H0,010420,Goats,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
