model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
primary_share_strict_year_fe,rd2_countries,Imports,product,gini,product_gini,log_population,-0.002135047702215938,0.00201177465294968,-1.0612757741457344,0.2928896499049197,-0.0061605994845233755,0.0018905040800915002,1878,60,0.5304855069785995,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.44781432307086266
primary_share_strict_year_fe,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.013554225582261391,0.0016706459428823288,-8.113164635516119,3.522570326976997e-11,-0.016897180392390847,-0.010211270772131936,1878,60,0.5304855069785995,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,product,gini,product_gini,primary_export_share_strict,0.005032791742445739,0.010352143876006628,0.48615936976207813,0.6286550509302513,-0.015681800306748286,0.025747383791639763,1878,60,0.5304855069785995,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_population,-0.0021892021824440255,0.002087319747614973,-1.048810171486887,0.2985428820472418,-0.006365919350013956,0.0019875149851259046,1878,60,0.14998326260416772,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.44781432307086266
primary_share_strict_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_gdp_per_capita,0.006042705351845586,0.002442875380745741,2.4736036064193003,0.0162735159310232,0.0011545230057277422,0.01093088769796343,1878,60,0.14998326260416772,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,partner,gini,partner_gini,primary_export_share_strict,-0.003769369307690941,0.013124210797155169,-0.287207312191907,0.7749599061938222,-0.03003085445385457,0.02249211583847269,1878,60,0.14998326260416772,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_population,-0.0030073194234208588,0.0059910016413144964,-0.5019727256761387,0.6175549370372909,-0.01499528601781039,0.008980647170968673,1878,60,0.33338583697080104,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.6736962949497719
primary_share_strict_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.028563629075900265,0.005171934764720063,-5.522813100958807,7.883596344454364e-07,-0.03891264663587914,-0.018214611515921388,1878,60,0.33338583697080104,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,primary_export_share_strict,-0.0037626230839448013,0.03511745993053466,-0.10714394182801353,0.9150382939979328,-0.07403249809514459,0.06650725192725498,1878,60,0.33338583697080104,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,log_population,-0.0029266691826646076,0.004420917639147438,-0.6620049097383791,0.510545606852199,-0.011772904945507525,0.005919566580178311,1878,60,0.4621645591249387,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.6736962949497719
