model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
baseline_population_year_fe,rd2_countries,Imports,product,gini,product_gini,baseline_log_population,-0.0029720530297148193,0.001966670923145783,-1.5112101342103945,0.13607278402358705,-0.006907352457150118,0.0009632463977204794,1883,60,0.5369421967802013,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.014008552770818646,0.0016886981705814645,-8.295474593896861,1.734578787662593e-11,-0.01738763000513827,-0.010629475536499022,1883,60,0.5369421967802013,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,gini,product_gini,average_log_population,-0.0023572581689409264,0.0018731317369684792,-1.2584582933584634,0.2131832762580959,-0.006105386117165302,0.0013908697792834488,1883,60,0.5306418547945535,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.014005263327157685,0.001702541673384103,-8.226091346897691,2.270960890648773e-11,-0.017412041346601938,-0.01059848530771343,1883,60,0.5306418547945535,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,baseline_log_population,-0.0020493925846245273,0.0021172588502894308,-0.9679461650824479,0.33702248931585344,-0.006286017758270157,0.0021872325890211026,1892,60,0.14284870539646288,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_gdp_per_capita,0.0063807358072278724,0.0019125919500844126,3.336172050157514,0.001473691510471431,0.0025536481549401366,0.010207823459515607,1892,60,0.14284870539646288,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,average_log_population,-0.0020718490337736746,0.0021469838498332124,-0.9650044800917461,0.3384814457242077,-0.006367953794120087,0.0022242557265727382,1892,60,0.14298554619700288,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_gdp_per_capita,0.0063132132130592255,0.001920239859576296,3.28772115711224,0.0017049573082761754,0.0024708221292261932,0.010155604296892258,1892,60,0.14298554619700288,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,baseline_log_population,-0.004729912322601924,0.005847520081708806,-0.808874917317037,0.4218369849785353,-0.016430772979379574,0.006970948334175725,1883,60,0.3383456854699277,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.028331019077084133,0.00519835933067524,-5.449992444713144,1.0354078491406732e-06,-0.038732912071407305,-0.017929126082760958,1883,60,0.3383456854699277,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,average_log_population,-0.002936530893072484,0.005586034317814035,-0.5256915238969795,0.6010728762008647,-0.014114159744860815,0.008241097958715847,1883,60,0.3345065608946429,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.028187062898305932,0.005166504102482128,-5.455732220315881,1.0134340927962187e-06,-0.03852521372824674,-0.01784891206836512,1883,60,0.3345065608946429,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,baseline_log_population,-0.0045264674754892644,0.004257309128281179,-1.0632226458304552,0.29201342831709953,-0.013045323364272894,0.003992388413294366,1883,60,0.46790459797916983,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.02843271827116376,0.0038827333714417803,-7.322861384274193,7.678523119706528e-10,-0.03620204980176784,-0.020663386740559682,1883,60,0.46790459797916983,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,average_log_population,-0.0031300132502717418,0.0040389770672692,-0.7749519737649763,0.4414629037796455,-0.011211987694081917,0.004951961193538433,1883,60,0.4633356581865419,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.02834938816980336,0.003897847234756059,-7.273088569767297,9.324906631597317e-10,-0.03614896247104436,-0.02054981386856235,1883,60,0.4633356581865419,ok,1892,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,baseline_log_population,-0.009955616981557891,0.010163354945512133,-0.9795600994880166,0.3313030136744942,-0.030292443253398204,0.010381209290282422,1892,60,0.0434880465165548,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.011733961739106222,0.008256117557676674,1.4212445083459102,0.16050991759375288,-0.004786491334758197,0.02825441481297064,1892,60,0.0434880465165548,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,average_log_population,-0.008424840884617814,0.010267794559965028,-0.8205112437160517,0.4152275473316218,-0.028970650342267687,0.01212096857303206,1892,60,0.03924662511768162,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.011688428340880923,0.008345248821994675,1.4006087284150222,0.16656858909144218,-0.005010375980926981,0.028387232662688826,1892,60,0.03924662511768162,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,baseline_log_population,-0.009853676598905257,0.006799528969236348,-1.4491704709968931,0.1525845785453532,-0.02345950263952447,0.003752149441713957,1892,60,0.13167105893335718,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.01606091153117313,0.005825294521544612,2.7570986276783964,0.00774915884365605,0.004404524117559457,0.027717298944786806,1892,60,0.13167105893335718,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,average_log_population,-0.009392967472705589,0.006885908026693045,-1.364085526018354,0.17772192037887624,-0.02317163760805927,0.004385702662648096,1892,60,0.12852908684960807,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.01583421655069021,0.005843927278868922,2.7095163569103966,0.008806866499856772,0.004140545075789551,0.02752788802559087,1892,60,0.12852908684960807,ok,1892,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,gini,product_gini,baseline_log_population,-0.013766974808280825,0.0023113034060808163,-5.956368502750977,1.5277296279327847e-07,-0.018391882241208208,-0.009142067375353443,1878,60,0.47118177270115635,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,gini,product_gini,log_gdp_per_capita,-0.014241356993724454,0.002197313113452368,-6.481259728773366,2.0299850153703742e-08,-0.018638170377955385,-0.009844543609493524,1878,60,0.47118177270115635,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
