diagnostic,value
country_sample,rd2_countries
start_year,1988
end_year,2024
panel_rows,3779
countries,60
years,37
country_years,1892
complete_control_country_years,1892
complete_control_country_year_share,1.0
primary_share_control,both
missing_control_flow_rows,0
duplicate_iso3_year_flow_rows,0
gmm_lag_iv_complete_flow_rows,3393
gmm_lag_iv_missing_flow_rows,386
lag2_log_population_complete_flow_rows,3523
lag2_log_population_missing_flow_rows,256
lag3_log_population_complete_flow_rows,3401
lag3_log_population_missing_flow_rows,378
lag2_log_gdp_per_capita_complete_flow_rows,3523
lag2_log_gdp_per_capita_missing_flow_rows,256
lag3_log_gdp_per_capita_complete_flow_rows,3401
lag3_log_gdp_per_capita_missing_flow_rows,378
primary_export_share_strict_complete_flow_rows,3756
primary_export_share_strict_missing_flow_rows,23
primary_export_share_strict_min,0.00434261064219756
primary_export_share_strict_median,0.14855312759556977
primary_export_share_strict_max,0.997776082522226
primary_export_share_broad_complete_flow_rows,3756
primary_export_share_broad_missing_flow_rows,23
primary_export_share_broad_min,0.011890769863335092
primary_export_share_broad_median,0.26665153797678454
primary_export_share_broad_max,0.9981783861260812
primary_mapping_coverage_share_complete_flow_rows,3756
primary_mapping_coverage_share_missing_flow_rows,23
primary_mapping_coverage_share_min,1.0
primary_mapping_coverage_share_median,1.0
primary_mapping_coverage_share_max,1.0
imports_rows,1892
exports_rows,1887
product_gini_missing_rows,18
product_gini_complete_rows,3761
partner_gini_missing_rows,0
partner_gini_complete_rows,3779
product_top_1pct_share_missing_rows,18
product_top_1pct_share_complete_rows,3761
product_top_5pct_share_missing_rows,18
product_top_5pct_share_complete_rows,3761
partner_top_1pct_share_missing_rows,0
partner_top_1pct_share_complete_rows,3779
partner_top_5pct_share_missing_rows,0
partner_top_5pct_share_complete_rows,3779
