model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,year
yearly_cross_section_1988,rd2_countries,Imports,product,gini,product_gini,log_population,,,,,,,0,0,,insufficient_year_countries,8,0,,none,none,,,1988.0
yearly_cross_section_1988,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,,,,,,,0,0,,insufficient_year_countries,8,0,,none,none,,,1988.0
yearly_cross_section_1989,rd2_countries,Imports,product,gini,product_gini,log_population,0.004704630729067318,0.006696366261927683,0.7025647261583622,0.49573046503914764,-0.00988549799454598,0.019294759452680617,15,0,0.6301095918118306,ok,15,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=12",1989.0
yearly_cross_section_1989,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.017302015525296248,0.009762784719275922,-1.7722418370175317,0.10171896874661938,-0.03857329612489659,0.003969265074304097,15,0,0.6301095918118306,ok,15,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=12",1989.0
yearly_cross_section_1990,rd2_countries,Imports,product,gini,product_gini,log_population,0.0026409096480073543,0.007719535114959044,0.34210734308206664,0.7377376066317785,-0.014036132056800323,0.01931795135281503,16,0,0.4370074652321422,ok,16,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=13",1990.0
yearly_cross_section_1990,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.015808366546556554,0.011319330342873175,-1.3965814290869023,0.18592750487782023,-0.04026229303142785,0.008645559938314742,16,0,0.4370074652321422,ok,16,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=13",1990.0
yearly_cross_section_1991,rd2_countries,Imports,product,gini,product_gini,log_population,0.0015952364210176382,0.0032231930242988933,0.4949242595747529,0.6273809990784249,-0.0052376275516057835,0.00842810039364106,19,0,0.361108953618847,ok,19,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=16",1991.0
yearly_cross_section_1991,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.014804177700068161,0.004198841163214174,-3.5257770238528625,0.002806506394068663,-0.023705323332553204,-0.005903032067583119,19,0,0.361108953618847,ok,19,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=16",1991.0
yearly_cross_section_1992,rd2_countries,Imports,product,gini,product_gini,log_population,0.0012957339769337345,0.0034844208866652558,0.3718649437249267,0.7132565511570088,-0.0058957572791613205,0.00848722523302879,27,0,0.2850114106777989,ok,27,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=24",1992.0
yearly_cross_section_1992,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.012529929679573075,0.004634511971133672,-2.703613618352153,0.012403468962561722,-0.022095092270643706,-0.002964767088502445,27,0,0.2850114106777989,ok,27,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=24",1992.0
yearly_cross_section_1993,rd2_countries,Imports,product,gini,product_gini,log_population,0.0028989761389988707,0.003811308144005338,0.7606249690302687,0.45347285636061785,-0.004921182218581111,0.010719134496578853,30,0,0.23595891195126206,ok,30,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=27",1993.0
