scope,import_bin,rank_in_bin,cmd_code,desc,import_value_usd_bn,share_of_bin_pct,share_of_total_pct
India 2024,capital_goods,1,880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",8.703625216195,11.773284137121477,1.2500937714045703
India 2024,capital_goods,2,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",5.7727076801549995,7.808668924823048,0.8291287521978029
India 2024,capital_goods,3,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",3.312264775943,4.48045881755052,0.47573757633135777
India 2024,capital_goods,4,847150,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",3.117163931356,4.216548363956873,0.447715419522473
India 2024,capital_goods,5,847989,"Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter",1.9808730359100002,2.6795019904965955,0.2845109919860402
India 2024,energy,1,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",141.532322252517,66.2863792567081,20.328158681635493
India 2024,energy,2,270119,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",30.996615739864996,14.517202812098983,4.452015718568133
India 2024,energy,3,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",14.984892381232001,7.0181442916699925,2.1522664597379455
India 2024,energy,4,271113,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes",7.570500942708001,3.5456289324234866,1.0873441628991747
India 2024,energy,5,271112,"Petroleum gases and other gaseous hydrocarbons; liquefied, propane",7.103723443382,3.327014626826089,1.0203013353365313
India 2024,final_consumption,1,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",2.9098513430360002,8.461429539402046,0.4179393010712365
India 2024,final_consumption,2,852589,Television cameras; n.e.c. in item no 8525.8,1.959806667885,5.698836152178676,0.2814852487124021
India 2024,final_consumption,3,080131,"Nuts, edible; cashew nuts, fresh or dried, in shell",1.595658229176,4.639944823110066,0.22918293975615428
India 2024,final_consumption,4,071310,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",1.3621748347890001,3.9610086654420367,0.19564793223923066
India 2024,final_consumption,5,071360,"Vegetables, leguminous; pigeon peas (Cajanus cajan), shelled, whether or not skinned or split, dried",1.337215889096,3.888431638143199,0.192063101576533
India 2024,intermediates,1,710812,"Metals; gold, non-monetary, unwrought (but not powder)",57.310536446278,15.535648019343922,8.231460209711035
India 2024,intermediates,2,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",14.489625975067998,3.92782449858256,2.0811317964048417
India 2024,intermediates,3,851779,"Communication apparatus; parts, other than aerials and aerial reflectors of all kinds",13.125594741903999,3.558065106333776,1.885217231355927
