source_file,reporter_code,year,total_imports_cells,total_imports_cells_excluding_999999,unspecified_imports_cells,unspecified_import_share,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_product_total_imports,exercise1_partner_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_product_total_abs_diff,exercise1_partner_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA3442025H6[2026-05-05].parquet,344,2025,836579288289.0499,834237279608.6279,2342008680.422,0.00279950593232091,4597,192,0.9490121196022496,0.6028879947010513,0.34612412490119837,0.364720447454629,0.635279552545371,0.0,0.9490121196022496,1.0,0.0001220703125,0.0,9.5367431640625e-07,"China, Hong Kong SAR",HKG,834237279608.6279,836579288289.05,0.9490121196022496,192,834237279608.6279,4597.0,"China, Hong Kong SAR",HKG,0.0,0.0,0.0,0.0001220703125,0.0001220703125
COMTRADE-FINAL-CA7572025H6[2026-05-14].parquet,757,2025,505012159557.2931,504878992080.82806,133167476.465,0.00026369162394374447,5388,195,0.881742698856508,0.5581772537812764,0.32356544507523166,0.3669612977741114,0.6330387022258886,0.0,0.881742698856508,1.0,0.0001220703125,0.0,2.384185791015625e-07,Switzerland,CHE,504878992080.8279,505012159557.29297,0.8817426988565082,195,504878992080.82794,5388.0,Switzerland,CHE,2.220446049250313e-16,0.0001220703125,0.00018310546875,0.0001220703125,0.0001220703125
COMTRADE-FINAL-CA2512024H6[2025-06-20].parquet,251,2024,762044581840.1791,761699282847.7411,345298992.4380001,0.00045312177353741545,5540,234,0.8890702116978006,0.5971144744711858,0.29195573722661483,0.3283832180914999,0.6716167819085002,0.0,0.8890702116978006,1.0,0.0001220703125,0.0,1.9073486328125e-06,France,FRA,761699282847.7411,762044581840.179,0.8890702116978006,234,761699282847.7411,5540.0,France,FRA,0.0,0.0,0.0,0.0001220703125,0.0001220703125
COMTRADE-FINAL-CA7022024H6[2025-10-14].parquet,702,2024,457524464484.96704,452915359725.97205,4609104758.994999,0.010074007220976577,5154,226,0.9230761927867708,0.6385618477111668,0.284514345075604,0.30822411768269536,0.6917758823173047,0.0,0.9230761927867708,1.0,0.0,0.0,3.814697265625e-06,Singapore,SGP,452915359725.972,457524464484.967,0.9230761927867704,226,452915359725.972,5154.0,Singapore,SGP,3.3306690738754696e-16,6.103515625e-05,6.103515625e-05,6.103515625e-05,6.103515625e-05
COMTRADE-FINAL-CA1242025H6[2026-04-28].parquet,124,2025,571105331573.3591,559576005139.3071,11529326434.052,0.020187740853844654,5524,220,0.9339248470800126,0.6532545678834021,0.2806702791966105,0.3005276924306571,0.6994723075693429,0.0,0.9339248470800126,1.0,0.0001220703125,0.0,2.384185791015625e-07,Canada,CAN,559576005139.3071,571105331573.359,0.9339248470800126,220,559576005139.3071,5524.0,Canada,CAN,0.0,0.0,0.0,0.0001220703125,0.0001220703125
COMTRADE-FINAL-CA1562024H6[2025-07-04].parquet,156,2024,2585134598079.0,2575856182234.0,9278415845.0,0.003589142264350468,5075,216,0.8605340566334885,0.5909328474247988,0.2696012092086897,0.31329522304253904,0.686704776957461,0.0,0.8605340566334885,1.0,0.0,0.0,3.814697265625e-06,China,CHN,2575856182234.0,2585134598079.0,0.8605340566334885,216,2575856182234.0,5075.0,China,CHN,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA8422025H6[2026-04-28].parquet,842,2025,3504272131456.0,3356027077700.0,148245053756.0,0.04230409288858661,5484,223,0.9016723593436045,0.63596435148251,0.2657080078610945,0.2946835456445881,0.7053164543554119,0.0,0.9016723593436045,1.0,0.00048828125,0.0,1.52587890625e-05,United States,USA,3356027077700.0,3504272131456.0,0.9016723593436043,223,3356027077700.0,5484.0,United States,USA,1.1102230246251565e-16,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA5282025H6[2026-05-14].parquet,528,2025,655320770056.8198,635948048117.2008,19372721939.619003,0.02956219736166654,5515,227,0.8739851742243805,0.6231526786066679,0.2508324956177126,0.28699857047382327,0.7130014295261767,0.0,0.8739851742243805,1.0,0.000244140625,0.0,1.9073486328125e-06,Netherlands,NLD,635948048117.201,655320770056.8201,0.8739851742243803,227,635948048117.201,5515.0,Netherlands,NLD,2.220446049250313e-16,0.000244140625,0.000244140625,0.000244140625,0.000244140625
COMTRADE-FINAL-CA2762025H6[2026-05-21].parquet,276,2025,1549668892333.4983,1502697556670.6062,46971335662.892,0.03031056240159945,5511,233,0.8849906211837708,0.65524407498152,0.22974654620225077,0.2596033683328077,0.7403966316671923,0.0,0.8849906211837708,1.0,0.000244140625,0.0,9.5367431640625e-07,Germany,DEU,1502697556670.606,1549668892333.498,0.8849906211837708,233,1502697556670.606,5511.0,Germany,DEU,0.0,0.000244140625,0.000244140625,0.000244140625,0.000244140625
COMTRADE-FINAL-CA4102025H6[2026-05-21].parquet,410,2025,631585806009.0,631585806009.0,0.0,0.0,5375,230,0.9133506520459431,0.6854594161805798,0.2278912358653633,0.24951122042216486,0.7504887795778351,0.0,0.9133506520459431,1.0,0.0,0.0,3.814697265625e-06,Korea,KOR,631585806009.0,631585806009.0,0.9133506520459432,230,631585806009.0,5375.0,Korea,KOR,1.1102230246251565e-16,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA3722024H6[2025-03-21].parquet,372,2024,144552206720.719,144399723001.80298,152483718.91599998,0.0010548695338190512,5383,236,0.9315886895496026,0.7037089478040426,0.22787974174556003,0.24461411382713716,0.7553858861728628,0.0,0.9315886895496026,1.0,0.0,0.0,5.960464477539063e-08,Ireland,IRL,144399723001.803,144552206720.719,0.9315886895496026,236,144399723001.803,5383.0,Ireland,IRL,0.0,3.0517578125e-05,3.0517578125e-05,0.0,0.0
COMTRADE-FINAL-CA7842023H6[2025-06-16].parquet,784,2023,470536019784.341,390834274603.086,79701745181.255,0.169385003124276,5413,231,0.8720429351930785,0.6475035748493201,0.22453936034375843,0.2574865884258822,0.7425134115741179,0.0,0.8720429351930785,1.0,6.103515625e-05,0.0,1.9073486328125e-06,United Arab Emirates,ARE,390834274603.086,470536019784.341,0.8720429351930785,231,390834274603.086,5413.0,United Arab Emirates,ARE,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA0402024H6[2025-07-07].parquet,40,2024,204403454311.075,201941075583.91803,2462378727.1570005,0.012046659071669043,5369,234,0.9180300385371889,0.693690296189714,0.2243397423474749,0.24437080806739528,0.7556291919326047,0.0,0.9180300385371889,1.0,0.0,0.0,1.1920928955078125e-07,Austria,AUT,201941075583.91803,204403454311.075,0.9180300385371888,234,201941075583.918,5369.0,Austria,AUT,1.1102230246251565e-16,3.0517578125e-05,0.0,0.0,0.0
COMTRADE-FINAL-CA5912025H6[2026-05-05].parquet,591,2025,14151266880.0,14144751305.0,6515575.0,0.00046042344160779477,4233,111,0.8742945391503523,0.6516837832514097,0.22261075589894253,0.254617575577308,0.745382424422692,0.0,0.8742945391503523,1.0,1.9073486328125e-06,0.0,1.1920928955078125e-07,Panama,PAN,14144751305.0,14151266880.0,0.8742945391503523,111,14144751305.0,4233.0,Panama,PAN,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA2032025H6[2026-04-29].parquet,203,2025,250212830768.0,249642492160.0,570338608.0,0.002279413914344081,5362,235,0.9105756781825061,0.6896078540383284,0.2209678241441777,0.242668269577797,0.757331730422203,0.0,0.9105756781825061,1.0,3.0517578125e-05,0.0,2.384185791015625e-07,Czech Republic,CZE,249642492160.0,250212830768.0,0.910575678182506,235,249642492160.0,5362.0,Czech Republic,CZE,1.1102230246251565e-16,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA6992024H6[2025-04-25].parquet,699,2024,696826766219.4908,695319433614.0588,1507332605.4320002,0.00216313821239928,5030,213,0.8791073139414631,0.6619627945936348,0.2171445193478283,0.2470057021528628,0.7529942978471372,0.0,0.8791073139414631,1.0,0.0001220703125,0.0,9.5367431640625e-07,India,IND,695319433614.0591,696826766219.491,0.8791073139414631,213,695319433614.0591,5030.0,India,IND,0.0,0.000244140625,0.000244140625,0.0001220703125,0.0001220703125
COMTRADE-FINAL-CA0562024H6[2026-03-12].parquet,56,2024,356485297669.358,355824764325.36,660533343.9979999,0.0018529048696158238,5484,234,0.9230400480172194,0.7098476725649092,0.21319237545231018,0.23096763343071444,0.7690323665692855,0.0,0.9230400480172194,1.0,6.103515625e-05,0.0,9.5367431640625e-07,Belgium,BEL,355824764325.36,356485297669.35803,0.9230400480172194,234,355824764325.36,5484.0,Belgium,BEL,0.0,0.0,0.0,6.103515625e-05,6.103515625e-05
COMTRADE-FINAL-CA6162024H6[2025-03-24].parquet,616,2024,379496069834.0,373568290917.0,5927778917.0,0.015620132560510949,5387,235,0.8973970497581563,0.6950732422240138,0.20232380753414247,0.22545628781448263,0.7745437121855173,0.0,0.8973970497581563,1.0,6.103515625e-05,0.0,9.5367431640625e-07,Poland,POL,373568290917.0,379496069834.0,0.8973970497581563,235,373568290917.0,5387.0,Poland,POL,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA7242025H6[2026-04-30].parquet,724,2025,520906310409.967,505768522717.662,15137787692.304998,0.029060480531309288,5490,236,0.8789006241478896,0.6796732789432751,0.1992273452046145,0.22667789705778066,0.7733221029422194,0.0,0.8789006241478896,1.0,6.103515625e-05,0.0,4.76837158203125e-07,Spain,ESP,505768522717.6621,520906310409.96704,0.8789006241478896,236,505768522717.6621,5490.0,Spain,ESP,0.0,0.0001220703125,0.0001220703125,6.103515625e-05,6.103515625e-05
COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet,36,2025,309962574599.166,306679626376.81903,3282948222.3470006,0.010591434229091713,5119,219,0.9114289284222221,0.7149877197162404,0.1964412087059817,0.21553102231025492,0.7844689776897451,0.0,0.9114289284222221,1.0,0.0,0.0,4.76837158203125e-07,Australia,AUS,306679626376.819,309962574599.16595,0.911428928422222,219,306679626376.819,5119.0,Australia,AUS,1.1102230246251565e-16,6.103515625e-05,6.103515625e-05,6.103515625e-05,6.103515625e-05
COMTRADE-FINAL-CA8262025H6[2026-03-10].parquet,826,2025,961777159011.316,917066101311.379,44711057699.937,0.046487959587124005,5397,234,0.8866056094196042,0.6993822208911471,0.1872233885284571,0.21116873899660815,0.7888312610033918,0.0,0.8866056094196042,1.0,0.0001220703125,0.0,1.9073486328125e-06,United Kingdom,GBR,917066101311.3788,961777159011.316,0.8866056094196042,234,917066101311.3788,5397.0,United Kingdom,GBR,0.0,0.000244140625,0.000244140625,0.0,0.0
COMTRADE-FINAL-CA2682024H6[2026-04-28].parquet,268,2024,16874422182.099003,16635035751.579002,239386430.51999998,0.014186348304948169,4478,130,0.8560328958040728,0.6689015910973783,0.18713130470669448,0.21860293643379416,0.7813970635662059,0.0,0.8560328958040728,1.0,1.9073486328125e-06,0.0,2.9802322387695312e-08,Georgia,GEO,16635035751.579,16874422182.099,0.8560328958040726,130,16635035751.579,4478.0,Georgia,GEO,2.220446049250313e-16,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
COMTRADE-FINAL-CA7102025H6[2026-05-15].parquet,710,2025,104390600989.67801,95842180888.06801,8548420101.610001,0.08188879095020495,5222,233,0.8842111752457951,0.7006770906178834,0.18353408462791165,0.20756815765972697,0.7924318423402731,0.0,0.8842111752457951,1.0,1.52587890625e-05,0.0,1.1920928955078125e-07,South Africa,ZAF,95842180888.068,104390600989.678,0.8842111752457951,233,95842180888.068,5222.0,South Africa,ZAF,0.0,1.52587890625e-05,1.52587890625e-05,1.52587890625e-05,1.52587890625e-05
COMTRADE-FINAL-CA7032025H6[2026-04-28].parquet,703,2025,129864656107.366,129730020608.408,134635498.958,0.0010367370383415923,5201,236,0.9164178913931564,0.7367059006670242,0.1797119907261322,0.19610266496754064,0.8038973350324594,0.0,0.9164178913931564,1.0,0.0,0.0,2.384185791015625e-07,Slovakia,SVK,129730020608.408,129864656107.366,0.9164178913931564,236,129730020608.408,5201.0,Slovakia,SVK,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA3482025H6[2026-03-02].parquet,348,2025,153119885427.25702,138194444159.13202,14925441268.125002,0.09747552531454617,5189,195,0.909834295949222,0.7316156908479265,0.1782186051012955,0.19588028929527393,0.8041197107047261,0.0,0.909834295949222,1.0,3.0517578125e-05,0.0,2.384185791015625e-07,Hungary,HUN,138194444159.13202,153119885427.257,0.9098342959492224,195,138194444159.13202,5189.0,Hungary,HUN,3.3306690738754696e-16,0.0,0.0,3.0517578125e-05,3.0517578125e-05
COMTRADE-FINAL-CA2082025H6[2026-03-10].parquet,208,2025,140625740177.889,138798772750.365,1826967427.5240002,0.012991699991857248,5350,229,0.917776846605485,0.7396525087053658,0.17812433790011917,0.19408240528068976,0.8059175947193102,0.0,0.917776846605485,1.0,0.0,0.0,4.76837158203125e-07,Denmark,DNK,138798772750.365,140625740177.88898,0.917776846605485,229,138798772750.365,5350.0,Denmark,DNK,0.0,0.0,0.0,3.0517578125e-05,3.0517578125e-05
