bin,bin_label,observations,exported_count,score_min,score_max,mean_loo_gini,export_probability,mean_asinh_export_value,export_probability_se,export_probability_ci_low,export_probability_ci_high
1,4pct,349713,275840,-0.0008262554274862666,-8.43063474427197e-05,-9.599012497226048e-05,0.7887610697915147,10.98228422428119,0.0006902458830521466,0.7874081878607325,0.7901139517222969
2,4pct,349713,319667,-8.430631925993026e-05,-7.579578413041688e-05,-7.991470643965461e-05,0.9140838344585417,14.902703501495905,0.00047388675333155043,0.9131550164220118,0.9150126524950716
3,4pct,349713,316098,-7.579576906935337e-05,-6.618789320245178e-05,-7.1143806413607e-05,0.9038783230820702,14.625215267157486,0.0004984364183499534,0.9029013877021043,0.9048552584620361
4,4pct,349713,310678,-6.618789279655424e-05,-5.5606302381105976e-05,-6.09146146623017e-05,0.888379900089502,13.948564710592386,0.0005324939489950206,0.8873362119494718,0.8894235882295322
5,4pct,349713,306438,-5.560629463108313e-05,-4.529126699504005e-05,-5.039685704276115e-05,0.8762556725085999,13.45145890491365,0.0005568294323165561,0.8751642868212595,0.8773470581959404
6,4pct,349713,302590,-4.5291233912392315e-05,-3.575406566280748e-05,-4.0454117573899546e-05,0.8652523640814039,13.037511937138252,0.0005773990780721857,0.8641206618883824,0.8663840662744254
7,4pct,349713,298924,-3.57540539690504e-05,-2.7107012488869486e-05,-3.13441407877728e-05,0.8547694824041429,12.666641369515286,0.0005957959659331467,0.8536017223109139,0.8559372424973718
8,4pct,349713,295881,-2.710700269048516e-05,-1.941247547243563e-05,-2.317942264792045e-05,0.846068061524736,12.337424874329583,0.0006102546978599256,0.8448719623169305,0.8472641607325415
9,4pct,349712,291605,-1.9412471348401183e-05,-1.260668148428401e-05,-1.5935281461805193e-05,0.8338432767534428,12.000257143134766,0.0006294277814336079,0.832609598301833,0.8350769552050527
10,4pct,349713,287581,-1.2606669339998433e-05,-6.614746321575993e-06,-9.543058283086589e-06,0.8223343141375928,11.673413810764258,0.0006463534873909338,0.8210674613023066,0.8236011669728791
11,4pct,349713,283529,-6.614723690567814e-06,-1.3715891404864067e-06,-3.933904069845362e-06,0.8107476702324478,11.353030460421659,0.0006623805684825201,0.809449404318222,0.8120459361466735
12,4pct,349713,278598,-1.3715696343119532e-06,3.2090566681741706e-06,9.699210732240562e-07,0.796647536694375,11.023961866108783,0.0006806156628638791,0.7953135299951618,0.7979815433935883
13,4pct,349713,273593,3.2091038486559142e-06,7.122433571371545e-06,5.217983974129823e-06,0.7823358010711641,10.679122128689572,0.0006978052224231684,0.7809681028352147,0.7837034993071135
14,4pct,349713,266083,7.122434163564506e-06,1.0468162193300046e-05,8.837978916136249e-06,0.760861048917255,10.234705342165865,0.0007213099905096894,0.759447281335856,0.762274816498654
15,4pct,349713,258185,1.0468181143918898e-05,1.3291972666751306e-05,1.1906745829120068e-05,0.7382768155601879,9.763333131679182,0.0007433182994567813,0.7368199116932526,0.7397337194271232
16,4pct,349713,244031,1.3291992351005533e-05,1.5639098894126846e-05,1.4504261574748007e-05,0.6978036275460163,9.071240912682482,0.0007765248285827905,0.696281638881994,0.6993256162100386
17,4pct,349712,222891,1.5639106075271414e-05,1.7746549601627137e-05,1.6716308182279874e-05,0.6373558814109896,8.094622524599888,0.0008129728658403249,0.6357624545939426,0.6389493082280366
18,4pct,349713,210713,1.774655101893785e-05,1.9706772658389937e-05,1.874607202885718e-05,0.602531218456277,7.526190531086451,0.0008275331500165282,0.6009092534822446,0.6041531834303094
19,4pct,349713,210272,1.9706773352723417e-05,2.158991804934729e-05,2.064610600656481e-05,0.6012701844083577,7.43504846799451,0.0008279770553292417,0.5996473493799124,0.602893019436803
20,4pct,349713,208991,2.1589919908970856e-05,2.3407856883039813e-05,2.2484936451712246e-05,0.597607180745354,7.32319380809253,0.0008292340490234811,0.5959818820092679,0.5992324794814401
21,4pct,349713,214000,2.3407859597979197e-05,2.52788075301158e-05,2.433044287476108e-05,0.6119303543191131,7.474530810167391,0.0008240431373893719,0.61031522976983,0.6135454788683963
22,4pct,349713,209380,2.5278827390229353e-05,2.723538944460202e-05,2.623512094364216e-05,0.598719521436149,7.114426041142313,0.0008288574346154953,0.5970949608643027,0.6003440820079954
23,4pct,349713,213194,2.7235391809377063e-05,2.960932536755223e-05,2.8373558717427153e-05,0.6096256072836869,7.209063154779674,0.0008249286234123739,0.6080087471817986,0.6112424673855751
24,4pct,349715,208483,2.960933254980702e-05,3.346089343159164e-05,3.131621502921157e-05,0.5961511516520596,6.856057711680647,0.0008297179540107019,0.5945249044621986,0.5977773988419205
25,4pct,349711,232884,3.346089841960165e-05,0.05146095409779039,0.00026413136801214135,0.665932727309121,9.667231892815183,0.0007975859567439972,0.6643694588339027,0.6674959957843393
