sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,p_value_reference,se_method,r2_within
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.21565878486248316,0.06890003459456857,-3.130024333536164,0.002717161473856469,-0.3535274356363366,-0.0777901340886297,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_import_value_share_z,0.65297463946171,0.09845407090244379,6.63227668979508,1.13071948504213e-08,0.45596849863194533,0.8499807802914746,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_02,-2.587949060165232,0.5198773135224525,-4.977999602695615,5.902292103160968e-06,-3.6282211616966045,-1.5476769586338595,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_03,-0.7195368726347416,0.608459249477483,-1.1825555667904581,0.24172910828406113,-1.9370610185942412,0.4979872733247578,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_04,-1.0655215295869545,0.45723376207719824,-2.330364942313806,0.02322618305404231,-1.9804441742093386,-0.1505988849645703,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_05,-2.2515188649853037,0.5112397893708406,-4.4040368371095395,4.539322999228432e-05,-3.2745073206111748,-1.2285304093594325,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_06,-0.8823756604066302,0.40619592889800066,-2.172290753382224,0.033863679968521736,-1.6951718367297999,-0.06957948408346037,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_07,-1.210745372352788,0.5200879429869203,-2.32796277760132,0.023362525090911513,-2.2514389424690497,-0.17005180223652605,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_08,-1.2925724553307412,0.5872696857312265,-2.2009861682564487,0.03166224950287372,-2.4676963821702746,-0.11744852849120768,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_09,-1.5631142556609068,0.5427761570611741,-2.8798506259454846,0.005536422419546947,-2.649206837276828,-0.47702167404498597,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_10,3.8591221812072813,0.5562558267370881,6.937675069121171,3.448856625385962e-09,2.7460568428717,4.972187519542863,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_11,3.4803416398278197,0.5402039958388527,6.442643272979481,2.3570215142134856e-08,2.3993959409294616,4.561287338726178,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_12,4.514633214293176,0.5322123156191162,8.48276727501384,8.391614372006246e-12,3.44967883057767,5.579587598008682,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_13,1.298667241382306,0.7119496450683362,1.8240998508506228,0.07320234287906978,-0.1259407078310173,2.723275190595629,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_14,-0.9451149088804599,0.6817568531208241,-1.3862932283761908,0.17087417442039823,-2.309307220955231,0.4190774031943111,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_15,4.809702422104533,0.5761997907710713,8.347282486285152,1.4186813932150931e-11,3.656729303916193,5.9626755402928735,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_16,3.9441890053287763,0.6731707382336355,5.85912129169209,2.212864501222799e-07,2.5971774694590044,5.291200541198548,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_17,4.6873402256054835,0.532641877023199,8.800172175349495,2.462963283520539e-12,3.621526291505803,5.753154159705164,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_18,3.5198111835964214,0.6451695203303199,5.455637739666182,1.0137920441538666e-06,2.228829955332027,4.810792411860816,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_19,4.845124746857711,0.5652994535175279,8.570899399794806,5.966873074981335e-12,3.7139631531333146,5.976286340582107,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_20,4.754488402284407,0.5411589401463058,8.785752298574241,2.6036508477379e-12,3.6716318642405037,5.83734494032831,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_21,5.011278933576619,0.5700745318560483,8.790567993383076,2.55579063401405e-12,3.8705624301668333,6.151995436986404,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_22,5.580130491423409,0.5548185472621672,10.057577416903914,2.0729555282022884e-14,4.469941142674165,6.690319840172653,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_23,4.425239187994411,0.6208489664256291,7.1277225658786785,1.6442295459371788e-09,3.182923275685849,5.667555100302972,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_24,4.31311194461953,0.6241837802392349,6.910003241299247,3.841281017246792e-09,3.0641230852831587,5.562100803955902,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_25,5.255691029321863,0.5567240989662032,9.440387148825252,2.1249448676382168e-13,4.141688680420135,6.369693378223591,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_26,3.1744703647110404,0.7665598207543443,4.141190653049304,0.00011156584149614308,1.6405877063534269,4.708353023068653,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_27,5.906248803355685,0.7445489647832523,7.932653301150005,7.112950460551229e-11,4.4164097660639925,7.396087840647377,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
