country,iso3,reporter_code,base_year,future_year,horizon,identity_mode,product_definition,product_definition_label,base_value,future_value,net_contribution,gross_positive_contribution,product_count,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,net_growth_share,gross_positive_share,low_base_value_usd,least_traded_base_share_cutoff
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,1777312655.0,1777312655.0,1777312655.0,655,630664503.0,2303852379.0,1673187876.0,1869546026.0,1.0622313731132964,0.9506653648975208,10000.0,0.1
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",196964.0,3456607.0,3259643.0,3259643.0,63,630664503.0,2303852379.0,1673187876.0,1869546026.0,0.0019481631720836112,0.0017435478745469516,10000.0,0.1
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,9436268.0,81196145.0,71759877.0,71759877.0,120,630664503.0,2303852379.0,1673187876.0,1869546026.0,0.04288811676758767,0.03838358403699445,10000.0,0.1
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,17348480.0,1886894506.0,1869546026.0,1869546026.0,779,630664503.0,2303852379.0,1673187876.0,1869546026.0,1.1173557093118693,1.0,10000.0,0.1
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,4135178833.0,4135178833.0,4135178833.0,810,630664503.0,6359725471.0,5729060968.0,5839531288.0,0.7217899854962758,0.7081354014658034,10000.0,0.1
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",259182.0,47201735.0,46942553.0,46942553.0,77,630664503.0,6359725471.0,5729060968.0,5839531288.0,0.008193760419412595,0.008038753571963052,10000.0,0.1
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,10795859.0,342689535.0,331893676.0,331893676.0,149,630664503.0,6359725471.0,5729060968.0,5839531288.0,0.05793160133114506,0.05683567047273606,10000.0,0.1
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,455071541.0,6294602829.0,5839531288.0,5839531288.0,970,630664503.0,6359725471.0,5729060968.0,5839531288.0,1.0192824479643414,1.0,10000.0,0.1
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,71128476.0,71128476.0,71128476.0,590,781308980.0,2149841197.0,1368532217.0,1599531302.0,0.05197427953572247,0.04446832388404238,10000.0,0.1
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",151628.0,3399825.0,3248197.0,3248197.0,63,781308980.0,2149841197.0,1368532217.0,1599531302.0,0.0023734896114615913,0.0020307179959145306,10000.0,0.1
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,11221874.0,62177929.0,50956055.0,50956055.0,118,781308980.0,2149841197.0,1368532217.0,1599531302.0,0.03723409238527265,0.03185686640598172,10000.0,0.1
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,73885702.0,1673417004.0,1599531302.0,1599531302.0,716,781308980.0,2149841197.0,1368532217.0,1599531302.0,1.168793311644778,1.0,10000.0,0.1
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,355712666.0,355712666.0,355712666.0,776,781308980.0,6036969402.0,5255660422.0,5462439601.0,0.06768182063494817,0.06511974355467111,10000.0,0.1
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",260069.0,28360349.0,28100280.0,28100280.0,87,781308980.0,6036969402.0,5255660422.0,5462439601.0,0.0053466696368687115,0.005144272898661566,10000.0,0.1
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,18299491.0,476263486.0,457963995.0,457963995.0,167,781308980.0,6036969402.0,5255660422.0,5462439601.0,0.08713728784359424,0.0838387292952697,10000.0,0.1
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,521494338.0,5983933939.0,5462439601.0,5462439601.0,957,781308980.0,6036969402.0,5255660422.0,5462439601.0,1.0393440904466411,1.0,10000.0,0.1
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,95241727.0,95241727.0,95241727.0,502,606149410.0,2588603121.0,1982453711.0,2333902187.0,0.04804234594307761,0.040807934252987614,10000.0,0.1
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",244070.0,7741118.0,7497048.0,7497048.0,126,606149410.0,2588603121.0,1982453711.0,2333902187.0,0.003781701412951679,0.003212237445836028,10000.0,0.1
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,9859685.0,134446548.0,124586863.0,124586863.0,188,606149410.0,2588603121.0,1982453711.0,2333902187.0,0.06284477781685768,0.0533813557800141,10000.0,0.1
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,226998069.0,2560900256.0,2333902187.0,2333902187.0,700,606149410.0,2588603121.0,1982453711.0,2333902187.0,1.1772795369949498,1.0,10000.0,0.1
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,472462840.0,472462840.0,472462840.0,587,606149410.0,47752588281.0,47146438871.0,47485838018.0,0.010021177660792831,0.0099495525343979,10000.0,0.1
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",262735.0,279971298.0,279708563.0,279708563.0,123,606149410.0,47752588281.0,47146438871.0,47485838018.0,0.0059327611946540905,0.005890357518676907,10000.0,0.1
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,16116943.0,710373812.0,694256869.0,694256869.0,219,606149410.0,47752588281.0,47146438871.0,47485838018.0,0.014725542069032932,0.014620293080577723,10000.0,0.1
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,244135338.0,47729973356.0,47485838018.0,47485838018.0,818,606149410.0,47752588281.0,47146438871.0,47485838018.0,1.0071988289068587,1.0,10000.0,0.1
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,191275365.0,191275365.0,191275365.0,494,929225537.0,3598710128.0,2669484591.0,3071751614.0,0.07165254508112649,0.06226915097178818,10000.0,0.1
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",323190.0,18107921.0,17784731.0,17784731.0,168,929225537.0,3598710128.0,2669484591.0,3071751614.0,0.006662233998263225,0.005789768586412795,10000.0,0.1
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,29086004.0,223134751.0,194048747.0,194048747.0,259,929225537.0,3598710128.0,2669484591.0,3071751614.0,0.07269146548147279,0.06317201759269589,10000.0,0.1
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,all_positive_product_growth,All products with positive product-level growth,490827363.0,3562578977.0,3071751614.0,3071751614.0,760,929225537.0,3598710128.0,2669484591.0,3071751614.0,1.1506908952972488,1.0,10000.0,0.1
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,strict_zero_base_product,Strict new product: base exports equal zero,0.0,393635163.0,393635163.0,393635163.0,539,929225537.0,14672649400.0,13743423863.0,14141566813.0,0.028641710167998477,0.027835328871631163,10000.0,0.1
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,low_base_under_10k_grower,"Low-base product grower: base exports below $10,000",315154.0,27882154.0,27567000.0,27567000.0,154,929225537.0,14672649400.0,13743423863.0,14141566813.0,0.0020058320455513118,0.0019493596688775904,10000.0,0.1
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,least_traded_10pct_grower,Least-traded product grower: product in bottom 10% of base export value,25617150.0,633344358.0,607727208.0,607727208.0,240,929225537.0,14672649400.0,13743423863.0,14141566813.0,0.04421949101316166,0.04297453146714486,10000.0,0.1
