country,iso3,reporter_code,year,flow,lag_real_exports_constant_2015_usd,lag2_real_exports_constant_2015_usd,current_real_exports_constant_2015_usd,future_real_exports_constant_2015_usd,lag_population
Azerbaijan,AZE,31,1996,Exports,,,,,7684850.0
Azerbaijan,AZE,31,1996,Imports,,,,,7684850.0
Azerbaijan,AZE,31,1997,Exports,,,,,7763000.0
Azerbaijan,AZE,31,1997,Imports,,,,,7763000.0
Azerbaijan,AZE,31,1998,Exports,,,,,7838250.0
Azerbaijan,AZE,31,1998,Imports,,,,,7838250.0
Azerbaijan,AZE,31,1999,Exports,,,,,7913000.0
Azerbaijan,AZE,31,1999,Imports,,,,,7913000.0
Azerbaijan,AZE,31,2000,Exports,,,,,7982750.0
Azerbaijan,AZE,31,2000,Imports,,,,,7982750.0
Azerbaijan,AZE,31,2001,Exports,,,,,8048600.0
Azerbaijan,AZE,31,2001,Imports,,,,,8048600.0
Azerbaijan,AZE,31,2002,Exports,,,,,8111200.0
Azerbaijan,AZE,31,2002,Imports,,,,,8111200.0
Azerbaijan,AZE,31,2003,Exports,,,,,8171950.0
Azerbaijan,AZE,31,2003,Imports,,,,,8171950.0
Azerbaijan,AZE,31,2004,Exports,,,,,8234100.0
Azerbaijan,AZE,31,2004,Imports,,,,,8234100.0
Azerbaijan,AZE,31,2005,Exports,,,,,8306500.0
Azerbaijan,AZE,31,2005,Imports,,,,,8306500.0
Azerbaijan,AZE,31,2006,Exports,,,,,8391850.0
Azerbaijan,AZE,31,2006,Imports,,,,,8391850.0
Azerbaijan,AZE,31,2007,Exports,,,,,8484550.0
Azerbaijan,AZE,31,2007,Imports,,,,,8484550.0
Azerbaijan,AZE,31,2008,Exports,,,,,8581300.0
Azerbaijan,AZE,31,2008,Imports,,,,,8581300.0
Azerbaijan,AZE,31,2009,Exports,,,,,8763400.0
Azerbaijan,AZE,31,2009,Imports,,,,,8763400.0
Azerbaijan,AZE,31,2010,Exports,,,,,8947243.0
Azerbaijan,AZE,31,2010,Imports,,,,,8947243.0
Azerbaijan,AZE,31,2011,Exports,,,,,9054332.0
Azerbaijan,AZE,31,2011,Imports,,,,,9054332.0
Azerbaijan,AZE,31,2012,Exports,,,,,9173082.0
Azerbaijan,AZE,31,2012,Imports,,,,,9173082.0
Azerbaijan,AZE,31,2013,Exports,,,,,9295784.0
Azerbaijan,AZE,31,2013,Imports,,,,,9295784.0
Azerbaijan,AZE,31,2014,Exports,,,,20060045053.3105,9416801.0
Azerbaijan,AZE,31,2014,Imports,,,,20060045053.3105,9416801.0
Azerbaijan,AZE,31,2015,Exports,,,20060045053.3105,,9535079.0
Azerbaijan,AZE,31,2015,Imports,,,20060045053.3105,,9535079.0
Azerbaijan,AZE,31,2016,Exports,20060045053.3105,,,,9649341.0
Azerbaijan,AZE,31,2016,Imports,20060045053.3105,,,,9649341.0
Azerbaijan,AZE,31,2017,Exports,,20060045053.3105,,,9757812.0
Azerbaijan,AZE,31,2017,Imports,,20060045053.3105,,,9757812.0
Azerbaijan,AZE,31,2018,Exports,,,,,9854033.0
Azerbaijan,AZE,31,2018,Imports,,,,,9854033.0
Azerbaijan,AZE,31,2019,Exports,,,,,9939771.0
Azerbaijan,AZE,31,2019,Imports,,,,,9939771.0
Azerbaijan,AZE,31,2020,Exports,,,,,10024283.0
Azerbaijan,AZE,31,2020,Imports,,,,,10024283.0
Azerbaijan,AZE,31,2021,Exports,,,,,10093121.0
Azerbaijan,AZE,31,2021,Imports,,,,,10093121.0
Azerbaijan,AZE,31,2022,Exports,,,,,10137750.0
Azerbaijan,AZE,31,2022,Imports,,,,,10137750.0
Azerbaijan,AZE,31,2023,Exports,,,,,10141756.0
Azerbaijan,AZE,31,2023,Imports,,,,,10141756.0
Azerbaijan,AZE,31,2024,Exports,,,,,10153958.0
Azerbaijan,AZE,31,2024,Imports,,,,,10153958.0
China,CHN,156,1992,Exports,,,,,1150780000.0
China,CHN,156,1992,Imports,,,,,1150780000.0
China,CHN,156,1993,Exports,,,,,1164970000.0
China,CHN,156,1993,Imports,,,,,1164970000.0
China,CHN,156,1994,Exports,,,,,1178440000.0
China,CHN,156,1994,Imports,,,,,1178440000.0
China,CHN,156,1995,Exports,,,,,1191835000.0
China,CHN,156,1995,Imports,,,,,1191835000.0
China,CHN,156,1996,Exports,,,,,1204855000.0
China,CHN,156,1996,Imports,,,,,1204855000.0
China,CHN,156,1997,Exports,,,,,1217550000.0
China,CHN,156,1997,Imports,,,,,1217550000.0
China,CHN,156,1998,Exports,,,,,1230075000.0
China,CHN,156,1998,Imports,,,,,1230075000.0
China,CHN,156,1999,Exports,,,,,1241935000.0
China,CHN,156,1999,Imports,,,,,1241935000.0
China,CHN,156,2000,Exports,,,,,1252735000.0
China,CHN,156,2000,Imports,,,,,1252735000.0
China,CHN,156,2001,Exports,,,,,1262645000.0
China,CHN,156,2001,Imports,,,,,1262645000.0
China,CHN,156,2002,Exports,,,,,1271850000.0
China,CHN,156,2002,Imports,,,,,1271850000.0
China,CHN,156,2003,Exports,,,,,1280400000.0
China,CHN,156,2003,Imports,,,,,1280400000.0
China,CHN,156,2004,Exports,,,,,1288400000.0
China,CHN,156,2004,Imports,,,,,1288400000.0
China,CHN,156,2005,Exports,,,,,1296075000.0
China,CHN,156,2005,Imports,,,,,1296075000.0
China,CHN,156,2006,Exports,,,,,1303720000.0
China,CHN,156,2006,Imports,,,,,1303720000.0
China,CHN,156,2007,Exports,,,,,1311020000.0
China,CHN,156,2007,Imports,,,,,1311020000.0
China,CHN,156,2008,Exports,,,,,1317885000.0
China,CHN,156,2008,Imports,,,,,1317885000.0
China,CHN,156,2009,Exports,,,,,1324655000.0
China,CHN,156,2009,Imports,,,,,1324655000.0
China,CHN,156,2010,Exports,,,,,1331260000.0
China,CHN,156,2010,Imports,,,,,1331260000.0
China,CHN,156,2011,Exports,,,,,1337705000.0
China,CHN,156,2011,Imports,,,,,1337705000.0
China,CHN,156,2012,Exports,,,,,1345035000.0
China,CHN,156,2012,Imports,,,,,1345035000.0
China,CHN,156,2013,Exports,,,,,1354190000.0
China,CHN,156,2013,Imports,,,,,1354190000.0
China,CHN,156,2014,Exports,,,,2362097053274.6,1363240000.0
China,CHN,156,2014,Imports,,,,2362097053274.6,1363240000.0
China,CHN,156,2015,Exports,,,2362097053274.6,,1371860000.0
China,CHN,156,2015,Imports,,,2362097053274.6,,1371860000.0
China,CHN,156,2016,Exports,2362097053274.6,,,,1379860000.0
China,CHN,156,2016,Imports,2362097053274.6,,,,1379860000.0
China,CHN,156,2017,Exports,,2362097053274.6,,,1387790000.0
China,CHN,156,2017,Imports,,2362097053274.6,,,1387790000.0
China,CHN,156,2018,Exports,,,,,1396215000.0
China,CHN,156,2018,Imports,,,,,1396215000.0
China,CHN,156,2019,Exports,,,,,1402760000.0
China,CHN,156,2019,Imports,,,,,1402760000.0
China,CHN,156,2020,Exports,,,,,1407745000.0
China,CHN,156,2020,Imports,,,,,1407745000.0
China,CHN,156,2021,Exports,,,,,1411100000.0
China,CHN,156,2021,Imports,,,,,1411100000.0
China,CHN,156,2022,Exports,,,,,1412360000.0
China,CHN,156,2022,Imports,,,,,1412360000.0
China,CHN,156,2023,Exports,,,,,1412175000.0
China,CHN,156,2023,Imports,,,,,1412175000.0
China,CHN,156,2024,Exports,,,,,1410710000.0
China,CHN,156,2024,Imports,,,,,1410710000.0
Croatia,HRV,191,1992,Exports,,,,,4689022.0
Croatia,HRV,191,1992,Imports,,,,,4689022.0
Croatia,HRV,191,1993,Exports,,,,,4575818.0
Croatia,HRV,191,1993,Imports,,,,,4575818.0
Croatia,HRV,191,1994,Exports,,,,9288875496.16593,4600463.0
Croatia,HRV,191,1994,Imports,,,,9288875496.16593,4600463.0
Croatia,HRV,191,1995,Exports,,,9288875496.16593,10844404719.1193,4652024.0
Croatia,HRV,191,1995,Imports,,,9288875496.16593,10844404719.1193,4652024.0
Croatia,HRV,191,1996,Exports,9288875496.16593,,10844404719.1193,11570486405.4118,4620030.0
Croatia,HRV,191,1996,Imports,9288875496.16593,,10844404719.1193,11570486405.4118,4620030.0
Georgia,GEO,268,1996,Exports,,,,,4657722.0
Georgia,GEO,268,1996,Imports,,,,,4657722.0
Georgia,GEO,268,1997,Exports,,,,,4491699.0
Georgia,GEO,268,1997,Imports,,,,,4491699.0
Georgia,GEO,268,1998,Exports,,,,,4349913.0
Georgia,GEO,268,1998,Imports,,,,,4349913.0
Georgia,GEO,268,1999,Exports,,,,,4243607.0
Georgia,GEO,268,1999,Imports,,,,,4243607.0
Georgia,GEO,268,2000,Exports,,,,,4157192.0
Georgia,GEO,268,2000,Imports,,,,,4157192.0
Georgia,GEO,268,2001,Exports,,,,,4077131.0
Georgia,GEO,268,2001,Imports,,,,,4077131.0
Georgia,GEO,268,2002,Exports,,,,,4014373.0
Georgia,GEO,268,2002,Imports,,,,,4014373.0
Georgia,GEO,268,2003,Exports,,,,,3978515.0
Georgia,GEO,268,2003,Imports,,,,,3978515.0
Georgia,GEO,268,2004,Exports,,,,,3951736.0
Georgia,GEO,268,2004,Imports,,,,,3951736.0
Georgia,GEO,268,2005,Exports,,,,,3927340.0
Georgia,GEO,268,2005,Imports,,,,,3927340.0
Georgia,GEO,268,2006,Exports,,,,,3902469.0
Georgia,GEO,268,2006,Imports,,,,,3902469.0
Georgia,GEO,268,2007,Exports,,,,,3880347.0
Georgia,GEO,268,2007,Imports,,,,,3880347.0
Georgia,GEO,268,2008,Exports,,,,,3860158.0
Georgia,GEO,268,2008,Imports,,,,,3860158.0
Georgia,GEO,268,2009,Exports,,,,4282967517.57805,3848449.0
Georgia,GEO,268,2009,Imports,,,,4282967517.57805,3848449.0
Georgia,GEO,268,2010,Exports,,,4282967517.57805,4781595293.03594,3814419.0
Georgia,GEO,268,2010,Imports,,,4282967517.57805,4781595293.03594,3814419.0
Georgia,GEO,268,2011,Exports,4282967517.57805,,4781595293.03594,5228361561.55305,3786695.0
Georgia,GEO,268,2011,Imports,4282967517.57805,,4781595293.03594,5228361561.55305,3786695.0
Guyana,GUY,328,1991,Imports,,,,,749894.0
Guyana,GUY,328,1992,Imports,,,,,747861.0
Guyana,GUY,328,1997,Exports,,,,,760526.0
Guyana,GUY,328,1997,Imports,,,,,760526.0
Guyana,GUY,328,1998,Exports,,,,,762245.0
Guyana,GUY,328,1998,Imports,,,,,762245.0
Guyana,GUY,328,1999,Exports,,,,,763586.0
Guyana,GUY,328,1999,Imports,,,,,763586.0
Guyana,GUY,328,2000,Exports,,,,,764483.0
Guyana,GUY,328,2000,Imports,,,,,764483.0
Guyana,GUY,328,2001,Exports,,,,,764832.0
Guyana,GUY,328,2001,Imports,,,,,764832.0
Guyana,GUY,328,2002,Exports,,,,,764477.0
Guyana,GUY,328,2002,Imports,,,,,764477.0
Guyana,GUY,328,2003,Exports,,,,,763652.0
Guyana,GUY,328,2003,Imports,,,,,763652.0
Guyana,GUY,328,2004,Exports,,,,,763101.0
Guyana,GUY,328,2004,Imports,,,,,763101.0
Guyana,GUY,328,2005,Exports,,,,,762418.0
Guyana,GUY,328,2005,Imports,,,,,762418.0
Guyana,GUY,328,2006,Exports,,,,,760914.0
Guyana,GUY,328,2006,Imports,,,,,760914.0
Guyana,GUY,328,2007,Exports,,,,,758966.0
Guyana,GUY,328,2007,Imports,,,,,758966.0
Guyana,GUY,328,2008,Exports,,,,,756861.0
Guyana,GUY,328,2008,Imports,,,,,756861.0
Guyana,GUY,328,2009,Exports,,,,,754606.0
Guyana,GUY,328,2009,Imports,,,,,754606.0
Guyana,GUY,328,2010,Exports,,,,,752094.0
Guyana,GUY,328,2010,Imports,,,,,752094.0
Guyana,GUY,328,2011,Exports,,,,,749256.0
Guyana,GUY,328,2011,Imports,,,,,749256.0
Guyana,GUY,328,2012,Exports,,,,,746153.0
Guyana,GUY,328,2012,Imports,,,,,746153.0
Guyana,GUY,328,2013,Exports,,,,,746288.0
Guyana,GUY,328,2013,Imports,,,,,746288.0
Guyana,GUY,328,2014,Exports,,,,,750021.0
Guyana,GUY,328,2014,Imports,,,,,750021.0
Guyana,GUY,328,2015,Exports,,,,,754229.0
Guyana,GUY,328,2015,Imports,,,,,754229.0
Guyana,GUY,328,2016,Exports,,,,,758781.0
Guyana,GUY,328,2016,Imports,,,,,758781.0
Guyana,GUY,328,2017,Exports,,,,,763548.0
Guyana,GUY,328,2017,Imports,,,,,763548.0
Guyana,GUY,328,2018,Exports,,,,,768479.0
Guyana,GUY,328,2018,Imports,,,,,768479.0
Guyana,GUY,328,2019,Exports,,,,,791556.0
Guyana,GUY,328,2019,Imports,,,,,791556.0
Guyana,GUY,328,2020,Exports,,,,,807665.0
Guyana,GUY,328,2020,Imports,,,,,807665.0
Guyana,GUY,328,2021,Exports,,,,,807481.0
Guyana,GUY,328,2021,Imports,,,,,807481.0
Guyana,GUY,328,2022,Exports,,,,,815482.0
Guyana,GUY,328,2022,Imports,,,,,815482.0
Guyana,GUY,328,2023,Exports,,,,,821637.0
Guyana,GUY,328,2023,Imports,,,,,821637.0
Guyana,GUY,328,2024,Exports,,,,,826353.0
Guyana,GUY,328,2024,Imports,,,,,826353.0
Hungary,HUN,348,1992,Exports,11692434371.4359,,11938167691.1336,10727716775.1012,10373400.0
Hungary,HUN,348,1992,Imports,11692434371.4359,,11938167691.1336,10727716775.1012,10373400.0
Kyrgyzstan,KGZ,417,1995,Exports,,,,,4515069.0
Kyrgyzstan,KGZ,417,1995,Imports,,,,,4515069.0
Kyrgyzstan,KGZ,417,1996,Exports,,,,,4560454.0
Kyrgyzstan,KGZ,417,1996,Imports,,,,,4560454.0
Kyrgyzstan,KGZ,417,2000,Exports,,,,,4840422.0
Kyrgyzstan,KGZ,417,2000,Imports,,,,,4840422.0
Kyrgyzstan,KGZ,417,2001,Exports,,,,,4898362.0
Kyrgyzstan,KGZ,417,2001,Imports,,,,,4898362.0
Kyrgyzstan,KGZ,417,2002,Exports,,,,,4945073.0
Kyrgyzstan,KGZ,417,2002,Imports,,,,,4945073.0
Kyrgyzstan,KGZ,417,2003,Exports,,,,,4990704.0
Kyrgyzstan,KGZ,417,2003,Imports,,,,,4990704.0
Kyrgyzstan,KGZ,417,2004,Exports,,,,,5043308.0
Kyrgyzstan,KGZ,417,2004,Imports,,,,,5043308.0
Kyrgyzstan,KGZ,417,2005,Exports,,,,,5104713.0
Kyrgyzstan,KGZ,417,2005,Imports,,,,,5104713.0
Kyrgyzstan,KGZ,417,2006,Exports,,,,,5162640.0
Kyrgyzstan,KGZ,417,2006,Imports,,,,,5162640.0
Kyrgyzstan,KGZ,417,2007,Exports,,,,,5218373.0
Kyrgyzstan,KGZ,417,2007,Imports,,,,,5218373.0
Kyrgyzstan,KGZ,417,2008,Exports,,,,,5268385.0
Kyrgyzstan,KGZ,417,2008,Imports,,,,,5268385.0
Kyrgyzstan,KGZ,417,2009,Exports,,,,2528788695.4789,5318729.0
Kyrgyzstan,KGZ,417,2009,Imports,,,,2528788695.4789,5318729.0
Kyrgyzstan,KGZ,417,2010,Exports,,,2528788695.4789,2926332612.63424,5389643.0
Kyrgyzstan,KGZ,417,2010,Imports,,,2528788695.4789,2926332612.63424,5389643.0
Kyrgyzstan,KGZ,417,2011,Exports,2528788695.4789,,2926332612.63424,2363860002.53312,5467059.0
Kyrgyzstan,KGZ,417,2011,Imports,2528788695.4789,,2926332612.63424,2363860002.53312,5467059.0
Panama,PAN,591,1995,Exports,,,,10792719123.0338,2669546.0
Panama,PAN,591,1995,Imports,,,,10792719123.0338,2669546.0
Panama,PAN,591,1996,Exports,,,10792719123.0338,11558335793.218,2724557.0
Panama,PAN,591,1996,Imports,,,10792719123.0338,11558335793.218,2724557.0
