model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
two_way_country_year_cluster,rd2_countries,Imports,product,gini,product_gini,prior_export_growth,0.0007860149805167579,0.006019966220888575,0.1305680051475004,0.8968439530019336,-0.011423042398172312,0.012995072359205828,1746,37,0.8995665219189014,ok,1892,146,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",0.8999723336753789
two_way_country_year_cluster,rd2_countries,Imports,product,gini,product_gini,lag_log_real_exports,-0.0036362758076831786,0.0050315154495346286,-0.7226999189716297,0.4745334344599397,-0.013840662106724811,0.006568110491358454,1746,37,0.8995665219189014,ok,1892,146,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,Imports,product,gini,product_gini,lag_log_population,-0.01840873598122987,0.014734594697591228,-1.249354757225815,0.21959766590870503,-0.04829187909429299,0.011474407131833252,1746,37,0.8995665219189014,ok,1892,146,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_export_growth,rd2_countries,Imports,product,gini,product_gini,contemporaneous_export_growth,-0.002234925247064109,0.004366167118566724,-0.5118735005722285,0.6107523031096211,-0.010981409004271655,0.006511558510143437,1752,57,0.8996350576173214,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",0.7329027637315454
contemporaneous_export_growth,rd2_countries,Imports,product,gini,product_gini,lag_log_real_exports,-0.003434939740236745,0.005193051299011656,-0.661449221749549,0.511036759427594,-0.01383787155748273,0.00696799207700924,1752,57,0.8996350576173214,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
contemporaneous_export_growth,rd2_countries,Imports,product,gini,product_gini,lag_log_population,-0.01935364121670731,0.014448004439602055,-1.3395373248681235,0.18580696679250738,-0.04829647201621297,0.009589189582798353,1752,57,0.8996350576173214,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
future_export_growth_placebo,rd2_countries,Imports,product,gini,product_gini,future_export_growth,-0.003739079990394748,0.004624036947425858,-0.8086181042468197,0.4221569331254378,-0.013002139088935242,0.005523979108145746,1698,57,0.9015346279812962,ok,1892,194,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",0.7086963497158
future_export_growth_placebo,rd2_countries,Imports,product,gini,product_gini,lag_log_real_exports,-0.003547704891990508,0.005261874348784134,-0.6742283560629454,0.5029399730835246,-0.014088505844936015,0.006993096060954999,1698,57,0.9015346279812962,ok,1892,194,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
future_export_growth_placebo,rd2_countries,Imports,product,gini,product_gini,lag_log_population,-0.018563153250805542,0.015531212620456699,-1.1952159631344799,0.23703981312379035,-0.04967591078518836,0.012549604283577275,1698,57,0.9015346279812962,ok,1892,194,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
region_year_fe,rd2_countries,Imports,product,gini,product_gini,prior_export_growth,0.0005659854920488754,0.004862549778186348,0.11639685306419192,0.9077544524587126,-0.009174872221038704,0.010306843205136454,1746,57,0.9162536362940963,ok,1892,146,"region_year_Europe & Central Asia::2024,region_year_Latin America & Caribbean ::2024,region_year_Middle East, North Africa, Afghanistan & Pakistan::2024,region_year_North America::2024,region_year_South Asia::2024,region_year_Sub-Saharan Africa ::2024","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=56",0.938911785562195
