country_sample,year,flow,observed_hs6_codes,active_country_year_hs6_products,reporters_with_trade,reporter_year_flow_observations,trade_value,product_universe,excluded_hs6_codes,source_note,flow_order
rd2_countries,1988,Any flow,5034,65664,8,16,825479990845.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1988,Exports,5019,29055,8,8,446787611483.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1988,Imports,5033,36609,8,8,378692379362.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1989,Any flow,5035,128472,15,30,1484975455273.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1989,Exports,5032,59235,15,15,752625240846.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1989,Imports,5034,69237,15,15,732350214427.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1990,Any flow,5035,137960,16,32,1698118960968.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1990,Exports,5034,63535,16,16,844441538401.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1990,Imports,5035,74425,16,16,853677422567.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1991,Any flow,5035,153829,19,37,3378763810027.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1991,Exports,5035,70199,18,18,1652667528100.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1991,Imports,5035,83630,19,19,1726096281927.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1992,Any flow,5036,221976,27,53,4261530372560.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1992,Exports,5036,100733,26,26,2103076775045.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1992,Imports,5036,121243,27,27,2158453597515.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1993,Any flow,5036,257931,30,60,4958749521944.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1993,Exports,5036,119327,30,30,2441985451895.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1993,Imports,5036,138604,30,30,2516764070049.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1994,Any flow,5036,341312,40,80,6667305718368.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1994,Exports,5036,154910,40,40,3281810579553.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1994,Imports,5036,186402,40,40,3385495138815.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1995,Any flow,5036,359815,45,90,7912180775245.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1995,Exports,5036,158592,45,45,3896869890133.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1995,Imports,5036,201223,45,45,4015310885112.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1996,Any flow,5385,381984,49,98,8369582174863.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1996,Exports,5381,166597,49,49,4113515345036.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1996,Imports,5382,215387,49,49,4256066829827.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1997,Any flow,5382,380159,50,98,8588609742999.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1997,Exports,5317,162068,48,48,4209475012465.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1997,Imports,5380,218091,50,50,4379134730534.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1998,Any flow,5380,392842,49,98,8666599328855.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1998,Exports,5267,171575,49,49,4267641549686.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1998,Imports,5378,221267,49,49,4398957779169.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1999,Any flow,5372,417196,52,104,9341057043883.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1999,Exports,5264,181800,52,52,4539215479433.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1999,Imports,5368,235396,52,52,4801841564450.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
