year,benchmark_reporters_with_exports,benchmark_reporter_product_rows,benchmark_total_exports,benchmark_products,world_total_exports,rd2_countries_with_metric,median_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,max_zero_weight_country_export_share,total_missing_benchmark_products,total_negative_leave_one_out_products
1988,10,33178,457950101829.0,5022,457950101829.0,8,0.9308806463659258,0.8926558210477806,0.9210405885107307,0.0005049597718887401,0,0
1989,25,77878,849811111830.0,5033,849811111830.0,15,0.8730297450130977,0.8824993255812397,0.917712903406527,0.0004953462444473199,0,0
1990,30,89144,964479726160.0,5035,964479726160.0,16,0.8726911778869599,0.8919685163863242,0.923977341293323,7.355420373993072e-07,0,0
1991,39,112327,1869438734616.0,5035,1869438734616.0,18,0.8286890935677255,0.8859687455803278,0.9201911325280683,6.435464058760065e-05,0,0
1992,53,149452,2374826502111.0,5036,2374826502111.0,26,0.8365189436304468,0.8884942364978644,0.9182593924846632,1.9252404233076636e-05,0,0
1993,68,178152,2718912702757.0,5036,2718912702757.0,30,0.8154283177698436,0.8664939537090577,0.9116486550931016,0.0,0,0
1994,93,235084,3636838351757.0,5036,3636838351757.0,40,0.8226357796445244,0.8682222560728822,0.9017168339943501,0.0,0,0
1995,105,248186,4343603232603.0,5036,4343603232603.0,45,0.8395423037162653,0.8745906551647658,0.9122614625524744,0.0,0,0
1996,118,272325,4650994076708.0,5384,4650994076708.0,49,0.8529187574140226,0.8920123533944475,0.9160306815295014,7.815081905670025e-05,0,0
1997,122,275241,4735993736441.0,5377,4735993736441.0,48,0.8575213795356008,0.8852816549665933,0.9180693771903692,1.5980975318689253e-07,0,0
1998,128,300109,4800267515662.0,5377,4800267515662.0,49,0.8445216901822239,0.8845934967245095,0.9153280611576884,0.0,0,0
1999,137,320404,5131446891996.0,5363,5131446891996.0,52,0.8502162468953978,0.8768216173761216,0.9211980503433395,0.00036469963482739455,0,0
2000,151,343092,5817244525651.065,5338,5817244525651.065,58,0.8559318541707905,0.8971280907232158,0.9269356783120092,0.01916316894118119,0,0
2001,155,346785,5632048942793.863,5274,5632048942793.863,59,0.8612712473652805,0.9013030059759087,0.9303130847725652,0.008924118375696188,0,0
2002,157,360459,5923913766916.562,5570,5923913766916.562,59,0.8586557033015626,0.8968592775646781,0.9332256382163848,0.014052848421205123,0,0
2003,160,372983,6921292294244.206,5579,6921292294244.206,59,0.8588746011506426,0.8975498871677082,0.9323828921445932,0.015511059477890408,0,0
2004,161,380028,8351471957607.767,5577,8351471957607.767,59,0.8530213995532743,0.8916248067887125,0.931352460983126,0.011163791025257688,0,0
2005,165,388437,9463776638949.371,5541,9463776638949.371,60,0.8478742488848472,0.9013142082194963,0.933369678326068,0.025094723336062857,0,0
2006,161,397433,11029272427409.55,5520,11029272427409.55,58,0.8408947994852238,0.8911463586522058,0.9342868101376409,0.008353368150932792,0,0
2007,165,392512,12696329386535.994,5784,12696329386535.994,60,0.8418268709361909,0.8924888518866415,0.9355311827498554,0.013673072646149906,0,0
2008,164,393733,14679230251059.178,5668,14679230251059.178,60,0.8321320472954079,0.8866201130336713,0.9380288562454272,4.592488154175247e-05,0,0
2009,166,395146,11155952807789.14,5601,11155952807789.14,59,0.8383777183732728,0.8906217477915527,0.9365160318459532,2.5423267340924714e-05,0,0
2010,169,400186,13603195025663.61,5533,13603195025663.61,59,0.8400384091559927,0.8930303914475294,0.9362841222157364,0.0009855795482284436,0,0
2011,168,400217,16465456215640.959,5430,16465456215640.959,59,0.8425303984601611,0.8986921734601,0.9373451751237154,0.002746439317428839,0,0
2012,170,409035,16687135437611.12,5738,16687135437611.12,60,0.8437711441425528,0.8993547901154282,0.9429370290337662,0.00010848149733856613,0,0
2013,171,417382,17314636337298.219,5728,17314636337298.219,60,0.8417008839882835,0.8959616205507037,0.9402722923904823,0.0018223821970076888,0,0
2014,168,412875,17180906869482.678,5695,17180906869482.678,60,0.8381603266035107,0.8915668511690615,0.9401653283220394,0.0020086281090470857,0,0
2015,169,420380,14886939159151.533,5604,14886939159151.533,60,0.853604498062629,0.8962062204865923,0.9355231847601456,0.0009400356376264051,0,0
2016,171,421588,14463507424510.89,5573,14463507424510.89,60,0.8475015784913911,0.898629205154615,0.9388177052469319,0.0012329444830444188,0,0
2017,172,433928,15912918159251.65,5687,15912918159251.65,60,0.8458367524042263,0.9022033866627917,0.9389116797371195,0.00033223841485168116,0,0
2018,169,428850,17639705152038.01,5667,17639705152038.01,60,0.8441620530196277,0.906766428460021,0.940755267448701,0.0003567068123171374,0,0
2019,166,431176,17270046559346.42,5523,17270046559346.42,60,0.8428755289624486,0.904138434456454,0.9410405974080228,1.7177189741227754e-06,0,0
2020,163,417448,16099571053208.256,5495,16099571053208.256,60,0.8440383403031222,0.9091173647125371,0.9426671336380468,4.1545416645993066e-05,0,0
2021,163,426911,20230697024887.18,5489,20230697024887.18,60,0.8485319258949922,0.9108821494978359,0.9530184461055031,7.430392869322896e-06,0,0
2022,160,433466,22120815369208.137,5839,22120815369208.137,59,0.8604033561341086,0.9183394419130059,0.94622465098215,3.038571732458987e-05,0,0
2023,158,433657,21325007050203.676,5806,21325007050203.676,58,0.8554293944781257,0.9168763592280684,0.942391526773085,2.4345716559140813e-06,0,0
2024,134,398033,20562489519169.527,5800,20562489519169.527,56,0.8530273577924496,0.9084357215036336,0.9399886759083766,2.365906872948079e-08,0,0
