country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_exports,world_total_exports,leave_one_out_world_exports,country_active_products,world_benchmark_products,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini
Zimbabwe,ZWE,716,2024,Exports,world_relative,0.9913943567623769,0.9906999473409663,0.5546478611170921,1.0,0.002620798256681894,7422001438.788,20562489519169.527,20555067517730.74,1335,5800,0.0,0,0,True,,0.9890305718525154,1335.0,7422001438.788001,0.002363784909861444
Burkina Faso,BFA,854,2024,Exports,world_relative,0.9890088936301374,0.9910587001799224,0.5214100656748215,1.0000000000000002,0.006017238178332752,5642107004.335999,20562489519169.527,20556847412165.195,986,5800,0.0,0,0,True,,0.9928313556346332,986.0,5642107004.336,-0.0038224620044957636
Iceland,ISL,352,2024,Exports,world_relative,0.9846771477876664,0.9589928759996658,0.6725613391280618,1.0,0.001199394494008337,6872368527.741,20562489519169.527,20555617150641.79,2107,5800,0.0,0,0,True,,0.9798721024068636,2107.0,6872368527.741001,0.0048050453808027305
Mozambique,MOZ,508,2024,Exports,world_relative,0.9818425423112715,0.9610285473280912,0.6362522485667752,1.0,0.0028978872050918316,8191933249.9,20562489519169.527,20554297585919.625,1693,5800,0.0,0,0,True,,0.9887944490229256,1693.0,8191933249.900001,-0.006951906711654021
Mauritania,MRT,478,2024,Exports,world_relative,0.979075377345286,0.9746668586405928,0.23692954921455023,1.0,0.00845585469573664,4149547480.4069996,20562489519169.527,20558339971689.12,290,5800,0.0,0,0,True,,0.9778111380139268,290.0,4149547480.407,0.0012642393313592182
Uganda,UGA,800,2024,Exports,world_relative,0.9742310991928234,0.9819430289281377,0.7647349832732314,1.0,0.0036028125543790934,8039344375.93,20562489519169.527,20554450174793.598,2636,5800,0.0,0,0,True,,0.9787712957855736,2636.0,8039344375.93,-0.00454019659275029
Panama,PAN,591,2024,Exports,world_relative,0.9584524433397161,0.9341023988433704,0.5825689763626491,1.0,0.0013276638057704954,1158357714.0,20562489519169.527,20561331161455.527,1859,5800,0.0,0,0,True,,0.9456669483703496,1859.0,1158357714.0,0.01278549496936654
Cambodia,KHM,116,2024,Exports,world_relative,0.9569505554027045,0.9360856307347363,0.5878234345369158,0.9999999999999998,0.0009452177740221996,26662107525.473003,20562489519169.527,20535827411644.055,2013,5800,0.0,0,0,True,,0.9408193729763707,2013.0,26662107525.473003,0.016131182426333712
Guyana,GUY,328,2024,Exports,world_relative,0.9549344282593787,0.9582430301876463,0.628797980064595,0.9999999999999999,0.03348203055279335,22409479415.308002,20562489519169.527,20540080039754.223,1944,5800,0.0,0,0,True,,0.9976181341471968,1944.0,22409479415.308,-0.04268370588781811
Costa Rica,CRI,188,2024,Exports,world_relative,0.9534160262626598,0.9495307373855549,0.8051827874325788,0.9999999999999998,0.0016039983495263173,19880341333.983,20562489519169.527,20542609177835.547,3178,5800,0.0,0,0,True,,0.9701108938594324,3178.0,19880341333.983,-0.016694867596772633
Peru,PER,604,2024,Exports,world_relative,0.9533650947135711,0.9551228614711308,0.8777720686260562,1.0,0.005104730274945361,74053783276.54001,20562489519169.527,20488435735892.99,3681,5800,0.0,0,0,True,,0.982860848891633,3681.0,74053783276.54001,-0.02949575417806194
Azerbaijan,AZE,31,2024,Exports,world_relative,0.9503300879252802,0.9538003800834499,0.739136474656628,0.9999999999999999,0.024441826392188178,26404676883.300003,20562489519169.527,20536084842286.227,1964,5800,0.0,0,0,True,,0.993710369902614,1964.0,26404676883.300003,-0.04338028197733379
Niger,NER,562,2024,Exports,world_relative,0.9425643341122826,0.9524152204519429,0.34587818476563703,0.9999999999999998,0.03380131525172562,1007786657.4240001,20562489519169.527,20561481732512.105,449,5800,0.0,0,0,True,,0.9863482823307308,449.0,1007786657.424,-0.04378394821844822
Morocco,MAR,504,2024,Exports,world_relative,0.9410813414050856,0.9312119264542924,0.8353276175310165,0.9999999999999999,0.002024227831659797,80525530850.75201,20562489519169.527,20481963988318.777,3551,5800,0.0,0,0,True,,0.9704883989139316,3551.0,80525530850.752,-0.02940705750884598
